ID,Airline,Tail,ACPU_Version,KANDU_Version,Modem_Version,Aircraft_Type,Flight_Num,Departure_Airport,Arrival_Airport,Departure_Date_UTC,Arrival_Date_UTC,ASA_Mins,Theory_Availability,Actual_Time,Handoff_Time,Not_Connected_Time,Regulatory_Time,Out_Of_Network_Time,ACPU_Reset_Time,Ping_Availability,VTP_Ping_Availability,RTT_30,RTT_50,RTT_95,RTT_Average,Ux_Low_Rate,Ux_Median_Rate,Num_VTP_Resets,Num_VTP_Timeouts,Beams,HO_Success,HO_Failures,HO_Times,Forward_Link_Bytes,Reverse_Link_Bytes,GNMS_Forward_Link_Bytes,GNMS_Reverse_Link_Bytes,Modem_Forward_Link_Bytes,Modem_Reverse_Link_Bytes,Max_Num_Auth_Pass,Num_ACPU_Resets
9563567,DAL,N328NB,10.11.0,05.32.01,50.10.23.22,319-100,DAL1390,KSLC,KSFO,12/6/19 15:26,12/6/19 16:59,72,100,99.3,0.7,0,0,0,0,95.4,96.8,661,674,1049,732,53.19,53.19,0,4,3,2,0,120,8928.1,523.3,2417.4,251.2,8812.4,252.6,21,0
9563521,DAL,N335NW,10.11.0,05.32.01,50.10.23.22,320-200,DAL1079,KSEA,KSAN,12/6/19 15:41,12/6/19 18:05,128,100,100,0,0,0,0,0,98.2,96.6,630,657,732,663,19.77,22.45,0,6,3,2,0,60,16925.4,948.6,5234.8,449.9,16823.2,477.2,39,0
9567511,DAL,N347NB,10.11.0,05.32.01,50.10.23.22,319-100,DAL2020,KSEA,KSAN,12/6/19 17:53,12/6/19 20:19,128,100,98.1,0,1.9,0,0,0,96.6,96.4,632,652,706,661,3.03,16.25,0,7,3,2,0,0,16674.7,1073,5482.3,593.7,16511.9,538.6,37,0
9568863,DAL,N338NW,10.11.0,05.32.01,50.10.23.22,320-200,DAL348,KSEA,KSAN,12/6/19 19:44,12/6/19 22:10,131,100,100,0,0,0,0,0,98.2,97.2,629,656,738,662,20.34,23.19,0,5,3,2,0,0,16528.7,742.9,4041.3,336.4,16433.2,373.5,31,0
9571933,DAL,N105DU,10.11.0,05.32.01,50.10.23.22,220-100,DAL2862,KSLC,KSFO,12/6/19 20:43,12/6/19 22:21,79,100,100,0,0,0,0,0,97.4,95.3,660,675,720,679,52.03,52.03,0,6,3,2,0,0,9839.6,341,2836.1,227.7,9882.5,166.7,16,0
9572409,DAL,N328NB,10.11.0,05.32.01,50.10.23.22,319-100,DAL1241,KSLC,KSFO,12/6/19 23:26,12/7/19 01:01,76,100,100,0,0,0,0,0,97.4,94.3,651,665,850,687,30.24,30.24,0,5,3,2,0,30,9549.5,515,2644.4,260,9566.2,249.5,27,0
9573573,DAL,N354NW,10.11.0,05.32.01,50.10.23.22,320-200,DAL1192,KSEA,KSAN,12/6/19 23:41,12/7/19 02:12,133,100,100,0,0,0,0,0,96,83.5,655,671,1169,741,0.18,9.29,0,5,3,2,0,0,14457,1192.5,3407,562.7,14390.8,594.1,31,0
9575671,DAL,N346DN,10.11.0,05.32.01,50.10.23.22,321-200,DAL2819,KMSP,KSLC,12/6/19 23:55,12/7/19 02:34,131,100,100,0,0,0,0,0,98,97.7,644,651,727,662,8.6,26.71,0,5,3,2,0,60,16265.4,2034.8,5216,1068.8,16088.5,1003.7,56,0
9574851,DAL,N365NW,10.11.0,05.32.01,50.10.23.22,320-200,DAL797,KAUS,KJFK,12/7/19 00:11,12/7/19 03:04,159,100,100,0,0,0,0,0,99.4,99,644,649,699,656,36.73,45.03,0,3,1,0,0,,22406.3,2578.6,8540,1279.8,22378.2,1282.2,53,0
9575235,DAL,N925DZ,10.11.0,05.32.01,50.10.23.22,737-900,DAL2563,KDTW,KTPA,12/7/19 01:32,12/7/19 03:41,110,100,100,0,0,0,0,0,99.4,97.3,645,651,716,663,4.32,17.02,0,1,1,0,0,,13018.4,839.1,3412.1,464.2,12966.6,418.8,39,0
9579041,DAL,N871DN,10.11.0,05.32.01,50.10.23.22,737-900,DAL2407,KMSP,KSLC,12/7/19 02:05,12/7/19 04:26,124,100,100,0,0,0,0,0,96.5,96.2,650,656,827,677,0.21,19.55,0,3,3,2,0,60,19179.6,1807,8264.7,839.6,19110.5,900,47,0
